Place and name,Year,Rating,Number of Ratings,URL
63. Spider-Man: Into the Spider-Verse,2018,8.4,716K,https://imdb.com/title/tt4633694/?ref_=chttp_i_63
64. Paths of Glory,1957,8.4,223K,https://imdb.com/title/tt0050825/?ref_=chttp_i_64
65. Witness for the Prosecution,1957,8.4,147K,https://imdb.com/title/tt0051201/?ref_=chttp_i_65
66. The Shining,1980,8.4,1.2M,https://imdb.com/title/tt0081505/?ref_=chttp_i_66
67. 12th Fail,2023,8.8,142K,https://imdb.com/title/tt23849204/?ref_=chttp_i_67
68. The Great Dictator,1940,8.4,247K,https://imdb.com/title/tt0032553/?ref_=chttp_i_68
69. Aliens,1986,8.4,801K,https://imdb.com/title/tt0090605/?ref_=chttp_i_69
70. Inglourious Basterds,2009,8.4,1.7M,https://imdb.com/title/tt0361748/?ref_=chttp_i_70
71. The Dark Knight Rises,2012,8.4,1.9M,https://imdb.com/title/tt1345836/?ref_=chttp_i_71
72. Coco,2017,8.4,636K,https://imdb.com/title/tt2380307/?ref_=chttp_i_72
73. Amadeus,1984,8.4,444K,https://imdb.com/title/tt0086879/?ref_=chttp_i_73
74. Toy Story,1995,8.3,1.1M,https://imdb.com/title/tt0114709/?ref_=chttp_i_74
75. Avengers: Endgame,2019,8.4,1.3M,https://imdb.com/title/tt4154796/?ref_=chttp_i_75
76. Oldboy,2003,8.3,668K,https://imdb.com/title/tt0364569/?ref_=chttp_i_76
77. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,534K,https://imdb.com/title/tt0057012/?ref_=chttp_i_77
78. Good Will Hunting,1997,8.3,1.1M,https://imdb.com/title/tt0119217/?ref_=chttp_i_78
79. American Beauty,1999,8.3,1.2M,https://imdb.com/title/tt0169547/?ref_=chttp_i_79
80. Das Boot,1981,8.4,276K,https://imdb.com/title/tt0082096/?ref_=chttp_i_80
81. Braveheart,1995,8.3,1.1M,https://imdb.com/title/tt0112573/?ref_=chttp_i_81
